PROJECT;FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUILD_FAIL
scikit-learn;./scikit-learn\examples\gaussian_process\plot_compare_gpr_krr.py;360;135;36;0;0;0.0;0.0;0;0;1;9;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpc.py;111;6;16;0;0;0.0;0.0;0;0;1;11;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpc_iris.py;52;10;14;0;0;0.0;0.0;0;0;2;10;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpc_isoprobability.py;74;8;23;1;0;1.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpc_xor.py;50;4;10;0;0;0.0;0.0;0;0;2;11;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpr_co2.py;196;103;32;0;0;0.0;0.0;0;0;1;13;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpr_noisy.py;204;81;23;1;0;2.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpr_noisy_targets.py;131;52;19;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py;151;13;39;8;1;2.38;8.0;0;0;8;13;0
scikit-learn;./scikit-learn\examples\gaussian_process\plot_gpr_prior_posterior.py;209;55;48;1;0;3.0;0.0;0;0;2;10;0
scikit-learn;./scikit-learn\examples\impute\plot_iterative_imputer_variants_comparison.py;146;22;25;1;0;3.0;0.0;0;0;4;9;0
scikit-learn;./scikit-learn\examples\impute\plot_missing_values.py;215;72;57;2;0;3.0;0.0;0;0;4;8;0
scikit-learn;./scikit-learn\examples\inspection\plot_causal_interpretation.py;164;71;25;0;0;0.0;0.0;0;0;1;9;0
scikit-learn;./scikit-learn\examples\inspection\plot_linear_model_coefficient_interpretation.py;690;358;96;0;0;0.0;0.0;0;0;5;13;0
scikit-learn;./scikit-learn\examples\inspection\plot_partial_dependence.py;562;245;56;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\inspection\plot_permutation_importance.py;212;97;34;0;0;0.0;0.0;0;0;2;8;0
